nation                                       orders
ARGENTINA                                         1
CANADA                                            1
CHINA                                             4
FRANCE                                            1
INDONESIA                                         1
IRAN                                              1
JAPAN                                             1
KENYA                                             3
MOROCCO                                           1
PERU                                              1
UNITED KINGDOM                                    2
VIETNAM                                           1
